Authors;Document;Level;Title;Year;Abstract;Author Keywords
;Ouvrage (soumis);Materiau / Procédé / Application;Approche méthodologique pour évaluer la faisabilité du recyclage des polymères dans un contexte de fabrication additive open-source;2021;;
;Ouvrage (soumis);Filière / Réseau;Recyclage distribué en circuit court de plastiques revalorisés par l’impression 3D  « Open Source »: Un cadre pour l'analyse et l'évaluation de sa durabilité;2021;;
;Article (soumis);Materiau / Procédé / Application;Characterization and optimization of the vibration properties of fused filament fabrication printed viscoelastic damping specimens;2022;;"Fused filament fabrication; Additive manufacturing; Vibration; Damping; Viscoelastic material; Modal Analysis "
;Article (soumis);Filière / Réseau;Toward distributed local recycling networks for plastic waste: A system dynamics-based approach (Part I);2022;;"System Dynamics; DRAM; Distributed recycling; Plastic recycling; Sustainability; 3D printing "
;Article (soumis);Espace d’Innovation;Exploring team roles for social innovation labs: toward a competence-based role self-assessment approach;2022;;"innovation lab; social innovation; innovation team roles; innovation competences; self-assessment "
;Article (soumis);Materiau / Procédé / Application;"Feasibility study on the use of recycling materials for prototyping purposes: a comparative study based on the tensile strength"" has been successfully submitted online and is presently being given full consideration for publication in Part B: Journal of Engineering Manufacture.";2022;;"Prototyping; Distributed recycling; Mechanical strength; PLA"
Xue F., Robin G., Boudaoud H., Cruz Sanchez F.A., Daya E.M.;Article;Materiau / Procédé / Application;General Methodology to Investigate the Effect of Process Parameters on the Vibration Properties of Structures Produced by Additive Manufacturing Using Fused Filament Fabrication;2022;Advances in fused filament fabrication (FFF) enable the manufacturing of multi-material and multi-functional structures, which provides new opportunities for the development of lightweight and high damping structures for vibration control. However, very few studies mention the vibration characteristics of FFF printed structures. This paper proposes a general methodology to investigate the effect of process parameters, such as raster angle, nozzle temperature, layer height, and deposition speed, on the vibration properties of FFF printed structures. An application of this methodology to structures printed by polylactic acid (PLA) is realized. In terms of vibration properties, a good reproducibility of the FFF process and the vibration test was achieved. It was found that raster angle significantly affects both resonant frequency (16.6%) and loss factor (7.5%). The impact of the other three parameters is relatively low (less than 4%). All these results provide guidance for further application of FFF in the vibration field. © 2021, The Minerals, Metals & Materials Society.;
Santander P., Cruz Sanchez F.A., Boudaoud H., Camargo M.;Article;Filière / Réseau;Social, political, and technological dimensions of the sustainability evaluation of a recycling network. A literature review;2022;The development and implementation of recycling networks seems to be a promising way to cope with and mitigate the environmental problems of waste. As a mandatory condition, recycling networks must guarantee the achievement of sustainability requirements. Since the first proposal of the TBL (Triple Bottom Line) in the early 1990s, some authors have suggested that this model should be extended to include more dimensions. Recent studies have proposed that for a system to be sustainable, it should not only include the economic, environmental, and social dimensions but must also consider technological and political aspects and their subsequent sustainability indicators for their evaluation. In regard to recycling networks, however, social, technological, and political dimensions are still to be formalized to facilitate their use when designing recycling networks or evaluating their impact. In order to understand how these social, political, and technological dimensions should be integrated into the sustainability evaluation process of a potential recycling network, a systematic literature review has been conducted. A total of 160 journal articles were selected and analyzed. Information was identified on the problem addressed, the recycling domain, the methodologies used, and the social, technological, and political aspects under consideration. A set of social, political, and technological indicators to be considered for the main recycling network problems (design and planning, decision-making and performance evaluation, provider selection, price, and coordination) is then proposed. The main contribution of this work lies in the understanding for future research of how to consider social, political, and technological aspects taking into account the most common problems addressed in a recycling network. At the same time, findings and research gaps have been derived from these results. This study provides a basis for future work oriented toward the holistic evaluation of sustainable recycling networks. © 2022 The Authors;"Closed loop supply chain; Political dimension; Recycling; Reverse logistics; Reverse supply chain; Social dimension; Sustainability indicators; Technological dimension"
Xue F., Robin G., Boudaoud H., Cruz Sanchez F.A., Daya E.M.;Conference Paper;Materiau / Procédé / Application;Effect of process parameters on the vibration properties of PLA structure fabricated by additive manufacturing;2021;;"Vibration properties; Fused Filament Fabrication; Modal Analysis; PLA; Design of Experiments"
;Congrès;Filière / Réseau;From technological demonstrator to sustainable supply chain demonstrator: a conceptual framework;2020;;
